Date,Close
2015-10-02,1951.359985
2015-10-05,1987.050049
2015-10-06,1979.9200440000002
2015-10-07,1995.8299559999998
2015-10-08,2013.430054
2015-10-09,2014.890015
2015-10-12,2017.459961
2015-10-13,2003.689941
2015-10-14,1994.2399899999998
2015-10-15,2023.859985
2015-10-16,2033.109985
2015-10-19,2033.660034
2015-10-20,2030.77002
2015-10-21,2018.939941
2015-10-22,2052.51001
2015-10-23,2075.149902
2015-10-26,2071.179932
2015-10-27,2065.889893
2015-10-28,2090.350098
2015-10-29,2089.409912
2015-10-30,2079.360107
2015-11-02,2104.050049
2015-11-03,2109.790039
2015-11-04,2102.310059
2015-11-05,2099.929932
2015-11-06,2099.199951
2015-11-09,2078.580078
2015-11-10,2081.719971
2015-11-11,2075.0
2015-11-12,2045.969971
2015-11-13,2023.040039
2015-11-16,2053.189941
2015-11-17,2050.439941
2015-11-18,2083.580078
2015-11-19,2081.23999
2015-11-20,2089.169922
2015-11-23,2086.590088
2015-11-24,2089.139893
2015-11-25,2088.8701170000004
2015-11-27,2090.110107
2015-11-30,2080.409912
2015-12-01,2102.6298829999996
2015-12-02,2079.51001
2015-12-03,2049.6201170000004
2015-12-04,2091.689941
2015-12-07,2077.070068
2015-12-08,2063.590088
2015-12-09,2047.619995
2015-12-10,2052.22998
2015-12-11,2012.369995
2015-12-14,2021.939941
2015-12-15,2043.410034
2015-12-16,2073.070068
2015-12-17,2041.890015
2015-12-18,2005.550049
2015-12-21,2021.1500239999998
2015-12-22,2038.969971
2015-12-23,2064.290039
2015-12-24,2060.98999
2015-12-28,2056.5
2015-12-29,2078.360107
2015-12-30,2063.360107
2015-12-31,2043.939941
2016-01-04,2012.660034
2016-01-05,2016.709961
2016-01-06,1990.2600100000002
2016-01-07,1943.089966
2016-01-08,1922.030029
2016-01-11,1923.6700440000002
2016-01-12,1938.680054
2016-01-13,1890.280029
2016-01-14,1921.839966
2016-01-15,1880.3299559999998
2016-01-19,1881.3299559999998
2016-01-20,1859.3299559999998
2016-01-21,1868.9899899999998
2016-01-22,1906.9000239999998
2016-01-25,1877.0799559999998
2016-01-26,1903.630005
2016-01-27,1882.949951
2016-01-28,1893.359985
2016-01-29,1940.2399899999998
2016-02-01,1939.380005
2016-02-02,1903.030029
2016-02-03,1912.530029
2016-02-04,1915.449951
2016-02-05,1880.050049
2016-02-08,1853.439941
2016-02-09,1852.209961
2016-02-10,1851.859985
2016-02-11,1829.0799559999998
2016-02-12,1864.780029
2016-02-16,1895.5799559999998
2016-02-17,1926.819946
2016-02-18,1917.8299559999998
2016-02-19,1917.780029
2016-02-22,1945.5
2016-02-23,1921.27002
2016-02-24,1929.800049
2016-02-25,1951.699951
2016-02-26,1948.050049
2016-02-29,1932.22998
2016-03-01,1978.3499760000002
2016-03-02,1986.449951
2016-03-03,1993.4000239999998
2016-03-04,1999.9899899999998
2016-03-07,2001.7600100000002
2016-03-08,1979.2600100000002
2016-03-09,1989.2600100000002
2016-03-10,1989.569946
2016-03-11,2022.189941
2016-03-14,2019.640015
2016-03-15,2015.930054
2016-03-16,2027.219971
2016-03-17,2040.589966
2016-03-18,2049.580078
2016-03-21,2051.600098
2016-03-22,2049.800049
2016-03-23,2036.709961
2016-03-24,2035.939941
2016-03-28,2037.050049
2016-03-29,2055.01001
2016-03-30,2063.949951
2016-03-31,2059.73999
2016-04-01,2072.780029
2016-04-04,2066.1298829999996
2016-04-05,2045.1700440000002
2016-04-06,2066.659912
2016-04-07,2041.910034
2016-04-08,2047.5999760000002
2016-04-11,2041.9899899999998
2016-04-12,2061.719971
2016-04-13,2082.419922
2016-04-14,2082.780029
2016-04-15,2080.72998
2016-04-18,2094.340088
2016-04-19,2100.800049
2016-04-20,2102.399902
2016-04-21,2091.47998
2016-04-22,2091.580078
2016-04-25,2087.790039
2016-04-26,2091.699951
2016-04-27,2095.149902
2016-04-28,2075.810059
2016-04-29,2065.300049
2016-05-02,2081.429932
2016-05-03,2063.3701170000004
2016-05-04,2051.1201170000004
2016-05-05,2050.6298829999996
2016-05-06,2057.139893
2016-05-09,2058.689941
2016-05-10,2084.389893
2016-05-11,2064.459961
2016-05-12,2064.110107
2016-05-13,2046.609985
2016-05-16,2066.659912
2016-05-17,2047.209961
2016-05-18,2047.630005
2016-05-19,2040.040039
2016-05-20,2052.320068
2016-05-23,2048.040039
2016-05-24,2076.060059
2016-05-25,2090.540039
2016-05-26,2090.100098
2016-05-27,2099.060059
2016-05-31,2096.949951
2016-06-01,2099.330078
2016-06-02,2105.26001
2016-06-03,2099.1298829999996
2016-06-06,2109.409912
2016-06-07,2112.1298829999996
2016-06-08,2119.1201170000004
2016-06-09,2115.47998
2016-06-10,2096.070068
2016-06-13,2079.060059
2016-06-14,2075.320068
2016-06-15,2071.5
2016-06-16,2077.98999
2016-06-17,2071.219971
2016-06-20,2083.25
2016-06-21,2088.899902
2016-06-22,2085.449951
2016-06-23,2113.320068
2016-06-24,2037.410034
2016-06-27,2000.540039
2016-06-28,2036.089966
2016-06-29,2070.77002
2016-06-30,2098.860107
2016-07-01,2102.949951
2016-07-05,2088.550049
2016-07-06,2099.72998
2016-07-07,2097.899902
2016-07-08,2129.899902
2016-07-11,2137.159912
2016-07-12,2152.139893
2016-07-13,2152.429932
2016-07-14,2163.75
2016-07-15,2161.73999
2016-07-18,2166.889893
2016-07-19,2163.780029
2016-07-20,2173.02002
2016-07-21,2165.169922
2016-07-22,2175.030029
2016-07-25,2168.47998
2016-07-26,2169.179932
2016-07-27,2166.580078
2016-07-28,2170.060059
2016-07-29,2173.600098
2016-08-01,2170.840088
2016-08-02,2157.030029
2016-08-03,2163.790039
2016-08-04,2164.25
2016-08-05,2182.8701170000004
2016-08-08,2180.889893
